| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.6002 (0.8082) | 10.7184 (0.7556) | 16.4183 (0.7785) |
| 20 | 0.2200 (0.4463) | 2.1815 (0.6855) | 5.4784 (0.7421) |
| 30 | 0.0000 (0.0000) | 0.2487 (0.5132) | 1.7809 (0.7439) |
| 40 | 0.0000 (0.0000) | 0.0021 (0.0147) | 0.4548 (0.4880) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0608 (0.1978) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0210 (0.1336) |
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.6226 (0.7976) | 10.9318 (0.8722) | 17.0881 (1.3056) |
| 20 | 0.2214 (0.4468) | 2.1867 (0.6920) | 5.4847 (0.7329) |
| 30 | 0.0000 (0.0000) | 0.2514 (0.5210) | 1.7711 (0.7516) |
| 40 | 0.0000 (0.0000) | 0.0021 (0.0149) | 0.4612 (0.4944) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0591 (0.1938) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0209 (0.1325) |
