### Comparison (num_trials = 50)
#### Noise only on F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.5791 (0.7718) | 10.9781 (1.0724) | 16.7387 (1.0087) |
| 20 | 0.2858 (0.4594) | 2.1083 (0.7896) | 5.8884 (0.6345) |
| 30 | 0.0000 (0.0000) | 0.1643 (0.4093) | 2.0015 (0.8050) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.4309 (0.5482) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0602 (0.2529) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise only on F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.5233 (0.7304) | 10.6147 (0.9115) | 16.3183 (0.8786) |
| 20 | 0.2846 (0.4618) | 2.1120 (0.7933) | 5.8755 (0.6368) |
| 30 | 0.0000 (0.0000) | 0.1581 (0.3880) | 1.9853 (0.7934) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.4278 (0.5400) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0605 (0.2516) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise only on F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise on both E and F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 9.8361 (9.8301) | 20.4674 (10.9776) | 27.6181 (12.4508) |
| 20 | 0.2151 (0.4530) | 3.7997 (6.3329) | 11.0055 (7.6910) |
| 30 | 0.0000 (0.0000) | 0.3781 (1.4785) | 3.1479 (6.2552) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.5760 (0.5777) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.1490 (0.4791) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0553 (0.3911) |

#### Noise on both E and F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 22.8692 (92.8372) | 39.3842 (67.4742) | 25.0978 (11.2270) |
| 20 | 0.1839 (0.3893) | 2.8183 (3.2728) | 8.8638 (8.2213) |
| 30 | 0.0000 (0.0000) | 0.1491 (0.3334) | 1.6832 (0.5864) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 3.0775 (17.9544) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0684 (0.1881) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0042 (0.0296) |

#### Noise on both E and F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise in E, F and G; RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 40 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

