### Comparison (num_trials = 50)
#### Noise only on F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.6059 (0.9728) | 10.9196 (1.0727) | 17.2179 (1.2464) |
| 20 | 0.2434 (0.4606) | 2.2943 (0.8109) | 6.0363 (0.7099) |
| 30 | 0.0000 (0.0000) | 0.4340 (0.6805) | 1.9117 (0.6584) |

#### Noise only on F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.5541 (0.9497) | 10.5374 (1.0078) | 16.7238 (1.0520) |
| 20 | 0.2441 (0.4540) | 2.2935 (0.8123) | 6.0128 (0.7053) |
| 30 | 0.0000 (0.0000) | 0.4290 (0.6744) | 1.9257 (0.6552) |

#### Noise only on F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise on both E and F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 6.1629 (6.5537) | 19.6666 (11.7094) | 30.8261 (10.8835) |
| 20 | 0.3544 (0.6076) | 3.4560 (3.3831) | 9.5634 (6.7377) |
| 30 | 0.0185 (0.1310) | 0.2838 (0.5854) | 2.5134 (2.2041) |

#### Noise on both E and F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 9.9274 (21.9448) | 22.3387 (29.9330) | 29.7341 (11.0032) |
| 20 | 0.3589 (0.6140) | 2.5435 (0.8515) | 8.9298 (11.6881) |
| 30 | 0.0191 (0.1350) | 0.2627 (0.5125) | 5.0937 (20.9233) |

#### Noise on both E and F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

