| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 9.07e+00 (8.96e-01) | 1.46e+01 (9.31e-01) | 2.02e+01 (1.34e+00) | 2.52e+01 (1.25e+00) | 3.00e+01 (1.32e+00) | 3.44e+01 (1.23e+00) |
| 20 | 2.37e-01 (6.90e-01) | 1.05e+00 (1.26e+00) | 3.57e+00 (1.05e+00) | 6.43e+00 (1.09e+00) | 9.77e+00 (1.23e+00) | 1.44e+01 (1.10e+00) |
| 30 | 1.76e-12 (4.97e-13) | 6.52e-04 (4.61e-03) | 4.21e-01 (9.26e-01) | 9.70e-01 (1.10e+00) | 2.39e+00 (9.29e-01) | 4.79e+00 (1.07e+00) |
| 40 | 1.38e-12 (5.27e-13) | 1.60e-12 (3.49e-13) | 2.14e-12 (4.89e-13) | 2.50e-12 (5.25e-13) | 3.64e-01 (7.44e-01) | 1.25e+00 (1.03e+00) |
| 50 | 5.47e-12 (5.54e-12) | 8.94e-12 (2.11e-11) | 4.98e-12 (4.01e-12) | 4.33e-12 (1.59e-12) | 7.52e-02 (3.34e-01) | 1.27e-01 (3.05e-01) |
| 60 | 1.15e-12 (3.30e-13) | 1.31e-12 (3.95e-13) | 1.65e-12 (3.72e-13) | 1.81e-12 (4.79e-13) | 2.19e-12 (4.68e-13) | 6.95e-02 (2.32e-01) |
| 70 | 1.02e-12 (3.78e-13) | 1.24e-12 (3.76e-13) | 1.42e-12 (3.65e-13) | 1.69e-12 (3.50e-13) | 1.80e-12 (3.67e-13) | 2.20e-12 (4.80e-13) |
| 80 | 9.02e-13 (2.33e-13) | 1.12e-12 (3.20e-13) | 1.40e-12 (3.63e-13) | 1.48e-12 (3.52e-13) | 1.69e-12 (3.88e-13) | 2.03e-12 (4.11e-13) |
| 90 | 8.63e-13 (3.13e-13) | 1.04e-12 (2.73e-13) | 1.18e-12 (3.04e-13) | 1.45e-12 (3.56e-13) | 1.63e-12 (3.68e-13) | 1.94e-12 (4.24e-13) |
| 100 | 8.53e-13 (3.14e-13) | 9.82e-13 (3.77e-13) | 1.13e-12 (2.97e-13) | 1.32e-12 (2.76e-13) | 1.51e-12 (3.70e-13) | 1.77e-12 (3.67e-13) |
