### Comparison (num_trials = 3)
#### Noise only on F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.3738 (0.7324) | 10.6810 (0.2831) | 17.0315 (0.4409) |
| 20 | 0.7048 (0.6873) | 2.3609 (0.0951) | 5.8567 (0.4679) |
| 30 | 0.0000 (0.0000) | 0.4316 (0.7475) | 1.9919 (1.0649) |

#### Noise only on F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.3262 (0.5765) | 10.6336 (0.3167) | 16.6612 (0.4352) |
| 20 | 0.7286 (0.7065) | 2.3702 (0.0900) | 5.8669 (0.4398) |
| 30 | 0.0000 (0.0000) | 0.4466 (0.7736) | 1.9583 (0.9935) |

#### Noise only on F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Noise on both E and F and Nyström on distance
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 5.6108 (0.5441) | 11.9922 (1.6114) | 26.1209 (7.7082) |
| 20 | 2.2608 (3.9158) | 3.8079 (1.7060) | 11.6456 (3.4482) |
| 30 | 0.0000 (0.0000) | 0.1670 (0.2893) | 1.5469 (1.0211) |

#### Noise on both E and F and Nyström on gram
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 5.5627 (0.5055) | 11.6374 (1.4112) | 28.6128 (19.8175) |
| 20 | 0.5246 (0.9086) | 3.1285 (0.5464) | 6.8981 (0.3890) |
| 30 | 0.0000 (0.0000) | 0.1745 (0.3022) | 1.5381 (0.9285) |

#### Noise on both E and F and RPCA on D
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 20 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| 30 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

