### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 12.6022 (1.42) (0) | 18.7695 (1.56) (0) | 24.8668 (1.75) (0) | 31.0944 (1.62) (0) | 36.6181 (2.17) (0) |
| 15 | 4.6191 (1.45) (0) | 7.9534 (1.39) (0) | 11.2456 (1.25) (0) | 15.3529 (1.33) (0) | 19.6730 (1.60) (0) |
| 20 | 2.5429 (1.29) (0) | 5.3095 (1.18) (0) | 8.3996 (0.97) (0) | 11.8925 (1.04) (0) | 15.5006 (1.18) (0) |
| 25 | 1.9620 (1.26) (5) | 4.5635 (1.04) (0) | 7.2174 (1.07) (0) | 10.3250 (1.18) (0) | 14.3139 (1.16) (0) |
| 30 | 0.0000 (0.00) (50) | 0.1433 (0.50) (44) | 0.6740 (1.01) (20) | 1.7372 (1.11) (3) | 3.4996 (1.16) (0) |
| 35 | 0.2938 (0.64) (39) | 1.3104 (0.90) (8) | 2.8247 (1.13) (1) | 4.3537 (0.90) (0) | 6.6115 (1.02) (0) |
| 40 | 0.0242 (0.17) (49) | 0.1853 (0.65) (45) | 1.0457 (1.00) (17) | 2.4752 (1.23) (2) | 4.2755 (1.05) (0) |
| 45 | 0.0000 (0.00) (50) | 0.0000 (0.00) (50) | 0.2796 (0.59) (39) | 0.8682 (0.98) (20) | 2.0742 (1.06) (2) |
| 50 | 0.0000 (0.00) (50) | 0.0777 (0.27) (46) | 0.2488 (0.65) (42) | 1.0382 (1.06) (21) | 2.2573 (1.01) (2) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 13.4980 (1.10) (0) | 18.5017 (1.10) (0) | 22.9653 (1.22) (0) | 27.4109 (1.09) (0) | 31.2056 (1.19) (0) |
| 15 | 4.7419 (0.95) (0) | 8.1730 (0.87) (0) | 12.1580 (0.92) (0) | 16.4853 (1.07) (0) | 20.7782 (1.11) (0) |
| 20 | 1.8751 (0.62) (0) | 3.6556 (0.75) (0) | 6.3297 (0.80) (0) | 9.4730 (0.76) (0) | 12.4935 (0.95) (0) |
| 25 | 0.6390 (0.47) (4) | 1.8322 (0.56) (0) | 3.3778 (0.63) (0) | 5.4384 (0.71) (0) | 8.4117 (0.68) (0) |
| 30 | 0.1358 (0.20) (24) | 0.7440 (0.51) (1) | 1.8047 (0.64) (0) | 3.1464 (0.66) (0) | 5.2203 (0.58) (0) |
| 35 | 0.0344 (0.11) (42) | 0.1948 (0.23) (18) | 0.8777 (0.46) (0) | 1.8244 (0.51) (0) | 3.1903 (0.55) (0) |
| 40 | 0.0017 (0.00) (49) | 0.0458 (0.10) (37) | 0.4394 (0.43) (5) | 0.9219 (0.38) (0) | 2.0730 (0.53) (0) |
| 45 | 0.0076 (0.03) (48) | 0.0274 (0.09) (45) | 0.1418 (0.16) (15) | 0.6886 (0.40) (2) | 1.3410 (0.53) (0) |
| 50 | 0.0009 (0.00) (50) | 0.0061 (0.02) (47) | 0.0580 (0.11) (30) | 0.3795 (0.28) (1) | 0.9501 (0.38) (0) |

