### Comparison (num_trials = 50)
#### New (AAP_SREDG )
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 15.9380 (2.36) (0) | 24.3183 (1.98) (0) | 32.3861 (2.92) (0) | 40.7773 (2.70) (0) | 47.2162 (2.94) (0) |
| 15 | 5.1817 (1.84) (0) | 8.7265 (2.12) (0) | 13.1800 (1.84) (0) | 17.6930 (1.73) (0) | 23.0061 (2.19) (0) |
| 20 | 2.8789 (1.75) (6) | 6.1211 (1.46) (0) | 10.1876 (2.18) (0) | 14.9346 (2.25) (0) | 19.5671 (1.91) (0) |
| 25 | 2.1774 (1.85) (10) | 5.8990 (1.79) (0) | 9.5225 (2.02) (0) | 14.1944 (1.95) (0) | 19.4528 (2.25) (0) |
| 30 | 0.0000 (0.00) (50) | 0.2458 (0.79) (45) | 0.6148 (1.20) (36) | 2.1362 (1.90) (17) | 4.1642 (1.57) (1) |
| 35 | 0.4875 (1.01) (38) | 1.8307 (1.48) (15) | 2.8601 (1.62) (3) | 5.4367 (1.50) (0) | 7.6316 (1.59) (0) |
| 40 | 0.0000 (0.00) (50) | 0.0636 (0.32) (48) | 1.1427 (1.57) (28) | 2.6351 (1.87) (11) | 5.1926 (1.45) (0) |
| 45 | 0.0000 (0.00) (50) | 0.0592 (0.29) (48) | 0.1803 (0.67) (46) | 0.9874 (1.11) (25) | 2.4950 (1.42) (4) |
| 50 | 0.0000 (0.00) (50) | 0.0438 (0.31) (49) | 0.0926 (0.46) (48) | 0.5388 (0.99) (36) | 2.5213 (1.51) (6) |


#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 13.3904 (1.05) (0) | 18.2609 (0.75) (0) | 22.7619 (1.18) (0) | 27.3655 (1.07) (0) | 30.9270 (1.13) (0) |
| 15 | 4.9316 (0.88) (0) | 8.1308 (0.88) (0) | 12.5327 (0.93) (0) | 16.5073 (0.98) (0) | 20.6869 (1.12) (0) |
| 20 | 1.9432 (0.75) (0) | 3.8427 (0.71) (0) | 6.2465 (0.96) (0) | 9.4221 (0.77) (0) | 12.8533 (0.83) (0) |
| 25 | 0.7424 (0.45) (1) | 1.8970 (0.65) (0) | 3.3771 (0.76) (0) | 5.4236 (0.77) (0) | 8.4698 (0.77) (0) |
| 30 | 0.1827 (0.29) (27) | 0.6767 (0.58) (1) | 1.6824 (0.64) (0) | 3.2037 (0.59) (0) | 5.3400 (0.68) (0) |
| 35 | 0.0354 (0.12) (43) | 0.2289 (0.32) (23) | 0.7305 (0.37) (0) | 1.6963 (0.41) (0) | 3.2126 (0.58) (0) |
| 40 | 0.0125 (0.08) (49) | 0.0553 (0.19) (39) | 0.3941 (0.44) (3) | 0.9902 (0.39) (0) | 2.0861 (0.50) (0) |
| 45 | 0.0010 (0.00) (50) | 0.0357 (0.10) (42) | 0.1615 (0.25) (23) | 0.5915 (0.34) (1) | 1.5055 (0.45) (0) |
| 50 | 0.0009 (0.00) (50) | 0.0058 (0.02) (47) | 0.0795 (0.18) (28) | 0.3457 (0.29) (2) | 0.9177 (0.36) (0) |

