### Comparison (num_trials = 50)
#### New (AAP_SREDG)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 16.1045 (2.24) (0) | 24.3700 (2.41) (0) | 32.3573 (3.22) (0) | 40.8226 (2.72) (0) | 48.8502 (3.12) (0) |
| 15 | 4.8847 (1.76) (0) | 9.1978 (1.86) (0) | 13.4477 (1.92) (0) | 17.6010 (2.17) (0) | 22.9771 (2.44) (0) |
| 20 | 3.0612 (1.60) (2) | 6.8864 (1.78) (0) | 10.2559 (2.15) (0) | 14.5812 (2.43) (0) | 19.5806 (1.95) (0) |
| 25 | 2.1113 (1.87) (14) | 5.1888 (1.99) (1) | 9.0409 (1.75) (0) | 13.9499 (2.12) (0) | 19.0181 (2.06) (0) |
| 30 | 0.0000 (0.00) (50) | 0.2136 (0.67) (45) | 0.5947 (1.19) (37) | 1.1957 (1.64) (28) | 3.8387 (1.45) (1) |
| 35 | 0.3081 (0.81) (42) | 1.0075 (1.19) (26) | 3.1076 (1.61) (2) | 5.1872 (1.67) (0) | 8.0704 (1.60) (0) |
| 40 | 0.0519 (0.37) (49) | 0.2557 (0.88) (46) | 0.6961 (1.27) (36) | 3.1145 (1.99) (8) | 4.8854 (1.76) (0) |
| 45 | 0.0000 (0.00) (50) | 0.0453 (0.32) (49) | 0.4005 (0.97) (42) | 0.7623 (1.08) (30) | 2.1942 (1.53) (8) |
| 50 | 0.0000 (0.00) (50) | 0.0000 (0.00) (50) | 0.0710 (0.45) (48) | 0.9214 (1.28) (30) | 2.2228 (1.55) (10) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 13.7371 (0.92) (0) | 18.2749 (0.98) (0) | 22.7621 (1.08) (0) | 26.9575 (1.30) (0) | 31.3513 (1.13) (0) |
| 15 | 4.6923 (0.78) (0) | 8.4826 (1.02) (0) | 12.2773 (1.07) (0) | 16.5975 (1.09) (0) | 20.5514 (1.35) (0) |
| 20 | 1.7228 (0.68) (0) | 3.7341 (0.91) (0) | 6.3231 (0.85) (0) | 9.3323 (0.97) (0) | 12.6516 (0.82) (0) |
| 25 | 0.6405 (0.47) (0) | 1.8137 (0.76) (0) | 3.3838 (0.64) (0) | 5.6617 (0.65) (0) | 8.0252 (0.70) (0) |
| 30 | 0.1449 (0.19) (0) | 0.6538 (0.45) (0) | 1.7857 (0.59) (0) | 3.0449 (0.76) (0) | 5.3135 (0.56) (0) |
| 35 | 0.0179 (0.05) (0) | 0.2182 (0.30) (0) | 0.9099 (0.48) (0) | 1.9242 (0.56) (0) | 3.1943 (0.57) (0) |
| 40 | 0.0287 (0.12) (0) | 0.0523 (0.13) (0) | 0.3955 (0.28) (0) | 0.9503 (0.47) (0) | 2.0689 (0.43) (0) |
| 45 | 0.0009 (0.00) (0) | 0.0175 (0.06) (0) | 0.1373 (0.16) (0) | 0.5620 (0.36) (0) | 1.3443 (0.42) (0) |
| 50 | 0.0008 (0.00) (0) | 0.0091 (0.04) (0) | 0.0714 (0.17) (0) | 0.3685 (0.32) (0) | 0.9468 (0.36) (0) |

