### Comparison (num_trials = 50)
#### New (AAP_SREDG)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 11.8613 (1.2043) | 20.8085 (1.4960) | 29.6874 (1.0628) |
| 20 | 3.2792 (0.7006) | 8.4164 (0.7664) | 14.7445 (0.8069) |
| 30 | 0.1357 (0.2657) | 1.5995 (0.6355) | 4.5876 (0.6163) |
| 40 | 0.1545 (0.3482) | 1.7347 (0.6811) | 4.8531 (0.6674) |
| 50 | 0.0243 (0.1109) | 0.8580 (0.6505) | 3.0418 (0.5969) |
| 60 | 0.0367 (0.1498) | 0.5118 (0.4945) | 2.4852 (0.5443) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.6156 (1.1828) | 24.9539 (1.4282) | 34.4720 (1.1724) |
| 20 | 1.1431 (1.0565) | 6.5362 (1.0175) | 14.1822 (1.0938) |
| 30 | 0.0393 (0.2211) | 0.9270 (0.9057) | 4.6949 (1.1830) |
| 40 | 0.0000 (0.0000) | 0.0948 (0.3340) | 1.1007 (0.9672) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.1629 (0.4445) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0565 (0.2761) |

