### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 12.0252 (1.6576) | 24.6497 (1.7841) | 36.4266 (2.0778) |
| 20 | 2.7522 (1.1718) | 8.3106 (1.1130) | 15.5811 (1.2420) |
| 30 | 0.0396 (0.0610) | 0.6635 (0.8884) | 3.2633 (1.3289) |
| 40 | 0.0954 (0.2983) | 0.8721 (0.8892) | 4.2056 (0.9497) |
| 50 | 0.0233 (0.0032) | 0.2401 (0.4894) | 2.1621 (1.0321) |
| 60 | 0.0199 (0.0022) | 0.0787 (0.2288) | 1.8952 (0.9193) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.4525 (1.1585) | 24.7661 (1.4421) | 34.5444 (1.5251) |
| 20 | 1.4596 (1.1939) | 6.2977 (1.1450) | 13.9929 (1.4432) |
| 30 | 0.0000 (0.0000) | 1.0602 (1.1407) | 4.8080 (1.3341) |
| 40 | 0.0000 (0.0000) | 0.0073 (0.0517) | 1.2121 (1.1154) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0626 (0.1926) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

