### Comparison (num_trials = 50)
#### New (AAP_SREDG after projecting tangent space)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 12.2802 (1.6273) | 24.6973 (1.5927) | 36.3475 (1.9580) |
| 20 | 2.6315 (0.9710) | 8.2276 (0.9411) | 15.5204 (1.2541) |
| 30 | 0.0658 (0.2995) | 0.6560 (0.9450) | 3.4678 (1.2589) |
| 40 | 0.0049 (0.0011) | 0.8295 (0.9143) | 4.4216 (1.0939) |
| 50 | 0.0044 (0.0009) | 0.1652 (0.4463) | 2.2000 (1.0102) |
| 60 | 0.0039 (0.0009) | 0.0874 (0.4009) | 1.6976 (1.0971) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.7717 (1.2209) | 25.2554 (1.5143) | 34.3441 (1.2383) |
| 20 | 1.0523 (1.1244) | 6.2553 (1.1206) | 14.0396 (1.3709) |
| 30 | 0.0527 (0.3727) | 0.5835 (0.9107) | 4.9773 (1.0370) |
| 40 | 0.0000 (0.0000) | 0.0800 (0.2490) | 1.1261 (1.1123) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.1775 (0.4195) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0210 (0.0995) |

