### Comparison (num_trials = 50)
#### New
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.3400 (0.8359) | 10.6575 (0.7937) | 16.6800 (1.0451) |
| 20 | 0.3001 (0.5235) | 2.3841 (0.6642) | 5.7058 (0.6594) |
| 30 | 0.0000 (0.0000) | 0.2607 (0.5112) | 1.8677 (0.6666) |
| 40 | 0.0000 (0.0000) | 0.0440 (0.2180) | 0.3423 (0.4664) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0596 (0.2098) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

#### Old
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.3400 (0.8359) | 10.6575 (0.7937) | 16.6800 (1.0451) |
| 20 | 0.3001 (0.5235) | 2.3841 (0.6642) | 5.7058 (0.6594) |
| 30 | 0.0000 (0.0000) | 0.2607 (0.5112) | 1.8677 (0.6666) |
| 40 | 0.0000 (0.0000) | 0.0440 (0.2180) | 0.3423 (0.4664) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0596 (0.2098) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |

