| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.6219 (0.8810) | 10.5362 (0.8898) | 16.5814 (1.0046) |
| 20 | 0.2509 (0.4784) | 2.3263 (0.7369) | 5.7036 (0.8630) |
| 30 | 0.0073 (0.0727) | 0.2809 (0.5019) | 1.8063 (0.7107) |
| 40 | 0.0000 (0.0000) | 0.0134 (0.1339) | 0.3381 (0.4754) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0408 (0.1517) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 4.6673 (0.8898) | 10.9039 (1.1037) | 17.0646 (1.0330) |
| 20 | 0.2549 (0.4844) | 2.3387 (0.7431) | 5.7399 (0.8686) |
| 30 | 0.0067 (0.0673) | 0.2792 (0.5029) | 1.8017 (0.7257) |
| 40 | 0.0000 (0.0000) | 0.0139 (0.1385) | 0.3403 (0.4783) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0401 (0.1488) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
