| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 2.09e+00 (7.97e-01) | 4.63e+00 (6.86e-01) | 7.61e+00 (7.90e-01) | 1.04e+01 (8.65e-01) | 1.35e+01 (9.08e-01) | 1.65e+01 (8.23e-01) |
| 20 | 2.78e-02 (1.97e-01) | 2.87e-01 (5.51e-01) | 1.08e+00 (8.29e-01) | 2.20e+00 (8.18e-01) | 3.86e+00 (8.75e-01) | 5.65e+00 (9.51e-01) |
| 30 | 9.43e-13 (2.38e-13) | 1.21e-12 (2.70e-13) | 3.03e-02 (1.60e-01) | 3.03e-01 (4.88e-01) | 8.95e-01 (6.41e-01) | 1.90e+00 (6.97e-01) |
| 40 | 7.96e-13 (2.89e-13) | 1.02e-12 (2.75e-13) | 1.23e-12 (2.33e-13) | 1.46e-12 (2.89e-13) | 2.29e-01 (4.58e-01) | 2.34e-01 (3.75e-01) |
| 50 | 6.59e-13 (2.24e-13) | 9.53e-13 (2.40e-13) | 1.12e-12 (2.58e-13) | 1.15e-12 (2.28e-13) | 1.21e-02 (5.98e-02) | 8.57e-02 (2.82e-01) |
| 60 | 6.65e-13 (2.14e-13) | 7.85e-13 (2.20e-13) | 9.06e-13 (2.47e-13) | 1.13e-12 (2.34e-13) | 1.26e-12 (2.47e-13) | 2.24e-02 (1.59e-01) |
| 70 | 5.99e-13 (1.97e-13) | 7.94e-13 (2.30e-13) | 8.83e-13 (2.56e-13) | 1.02e-12 (2.28e-13) | 1.22e-12 (2.43e-13) | 1.37e-12 (3.04e-13) |
| 80 | 5.63e-13 (2.19e-13) | 6.92e-13 (2.22e-13) | 8.63e-13 (2.18e-13) | 9.70e-13 (1.98e-13) | 1.07e-12 (2.38e-13) | 1.28e-12 (3.22e-13) |
| 90 | 5.29e-13 (1.81e-13) | 6.55e-13 (2.16e-13) | 7.55e-13 (2.03e-13) | 9.37e-13 (2.55e-13) | 1.09e-12 (2.54e-13) | 1.14e-12 (2.33e-13) |
| 100 | 4.94e-13 (1.95e-13) | 6.57e-13 (2.25e-13) | 7.26e-13 (2.00e-13) | 8.66e-13 (2.24e-13) | 9.87e-13 (2.29e-13) | 1.14e-12 (2.31e-13) |
