| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 4.9812 (2.0910) | 7.3034 (2.3092) | 9.5591 (2.2048) | 10.7734 (3.0009) | 11.8942 (2.6742) | 13.7039 (2.8651) |
| 20 | 0.4947 (0.3495) | 1.1820 (0.7892) | 2.4131 (1.2608) | 3.6590 (1.8474) | 4.9711 (1.4013) | 6.5392 (1.5146) |
| 30 | 0.0595 (0.0969) | 0.2168 (0.2161) | 0.4173 (0.2176) | 0.8018 (0.2711) | 1.3635 (0.3204) | 2.4289 (1.0074) |
| 40 | 0.0122 (0.0292) | 0.0746 (0.1031) | 0.1471 (0.1331) | 0.2751 (0.1486) | 0.4759 (0.1684) | 0.9309 (0.2424) |
| 50 | 0.0015 (0.0085) | 0.0189 (0.0400) | 0.0589 (0.0786) | 0.1083 (0.1034) | 0.2278 (0.1340) | 0.3857 (0.1469) |
| 60 | 0.0000 (0.0000) | 0.0051 (0.0213) | 0.0123 (0.0288) | 0.0413 (0.0560) | 0.0910 (0.0760) | 0.1810 (0.1052) |
| 70 | 0.0018 (0.0127) | 0.0000 (0.0000) | 0.0097 (0.0293) | 0.0266 (0.0470) | 0.0389 (0.0553) | 0.0979 (0.0770) |
| 80 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0004 (0.0028) | 0.0143 (0.0309) | 0.0289 (0.0494) | 0.0748 (0.0883) |
| 90 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0035 (0.0127) | 0.0092 (0.0248) | 0.0328 (0.0455) |
| 100 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0007 (0.0052) | 0.0086 (0.0241) | 0.0283 (0.0508) |
| 110 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0001 (0.0008) | 0.0016 (0.0069) | 0.0054 (0.0156) |
