| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 1.3956 (0.4575) | 2.6085 (1.0553) | 3.3571 (0.8254) | 4.0644 (1.0465) | 4.8689 (0.9024) | 5.4504 (1.2008) |
| 20 | 0.1331 (0.1535) | 0.3793 (0.1979) | 0.6390 (0.2386) | 1.1051 (0.3030) | 1.5429 (0.2496) | 1.9981 (0.2822) |
| 30 | 0.0232 (0.0580) | 0.0685 (0.1200) | 0.1414 (0.1381) | 0.2708 (0.1987) | 0.4507 (0.1932) | 0.7425 (0.1457) |
| 40 | 0.0023 (0.0128) | 0.0116 (0.0345) | 0.0375 (0.0562) | 0.0835 (0.0907) | 0.1475 (0.1247) | 0.3025 (0.1678) |
| 50 | 0.0000 (0.0000) | 0.0011 (0.0075) | 0.0070 (0.0261) | 0.0178 (0.0459) | 0.0386 (0.0580) | 0.1011 (0.0900) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0043 (0.0186) | 0.0046 (0.0177) | 0.0096 (0.0260) | 0.0355 (0.0556) |
| 70 | 0.0000 (0.0000) | 0.0002 (0.0011) | 0.0000 (0.0000) | 0.0000 (0.0001) | 0.0042 (0.0196) | 0.0149 (0.0318) |
| 80 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0035 (0.0148) | 0.0069 (0.0165) |
| 90 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0002 (0.0014) |
| 100 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0001 (0.0009) | 0.0004 (0.0025) |
| 110 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) |
