| m \ alpha | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|
| 10 | 44.9008 (6.4650) | 62.1561 (12.5342) | 73.6129 (13.3319) | 85.4721 (17.8514) | 96.8980 (17.0431) | 102.8494 (19.6843) |
| 20 | 16.9671 (1.9896) | 18.2897 (2.6545) | 22.6780 (3.1816) | 26.1954 (4.3822) | 26.5001 (4.5147) | 31.9628 (5.5458) |
| 30 | 14.4225 (2.8534) | 13.9136 (1.4326) | 14.7908 (1.5348) | 16.5525 (2.1708) | 16.6837 (2.1208) | 18.2033 (2.7335) |
| 40 | 7.7945 (3.2760) | 8.3098 (1.0406) | 9.4697 (2.0128) | 10.4827 (2.0423) | 11.2159 (1.8299) | 11.9114 (1.9545) |
| 50 | 2.6309 (2.4151) | 6.1718 (3.0983) | 7.3430 (1.5980) | 7.3104 (1.4763) | 8.3036 (0.8547) | 8.4584 (1.0388) |
| 60 | 1.2012 (0.4219) | 1.6834 (1.0047) | 2.4478 (2.2114) | 3.7762 (3.2112) | 5.8510 (3.4403) | 7.9401 (2.5983) |
| 70 | 1.5011 (0.3050) | 1.7089 (0.3994) | 1.9036 (0.5586) | 3.2721 (2.3776) | 3.8977 (2.6602) | 5.1123 (2.9083) |
| 80 | 1.0714 (0.7251) | 1.5367 (0.4660) | 1.7788 (0.4535) | 1.9302 (0.8560) | 2.2275 (1.3797) | 2.5412 (1.4644) |
| 90 | 0.0713 (0.3546) | 0.7414 (1.0439) | 1.8692 (0.6039) | 1.9124 (0.5898) | 2.0029 (0.4667) | 2.1494 (0.4500) |
| 100 | 0.0000 (0.0000) | 0.0917 (0.4547) | 0.6443 (1.2651) | 1.1014 (1.3561) | 1.8325 (1.4999) | 1.8145 (1.4339) |
| 110 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0038 (0.0268) | 0.1087 (0.3830) | 0.1941 (0.4975) |
