### Comparison (num_trials = 50)
#### New (RPCA on B)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.3879 (1.0324) | 23.7926 (1.1072) | 32.9752 (0.9848) |
| 20 | 6.1198 (0.3171) | 10.1558 (0.8021) | 15.6914 (0.9530) |
| 30 | 4.8554 (0.1657) | 7.0444 (0.2961) | 9.3220 (0.7054) |
| 40 | 3.9797 (0.1493) | 5.6655 (0.2435) | 7.0514 (0.3689) |
| 50 | 3.4601 (0.1224) | 4.8849 (0.1978) | 6.0841 (0.2070) |
| 60 | 3.1302 (0.1310) | 4.4272 (0.1775) | 5.3902 (0.1916) |

#### Old (RPCA on F)
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.7584 (1.0854) | 25.3770 (1.5093) | 34.6416 (1.2040) |
| 20 | 1.1819 (1.1730) | 6.3429 (1.4533) | 14.1751 (1.1293) |
| 30 | 0.0482 (0.3409) | 0.9613 (1.0057) | 4.7910 (1.1246) |
| 40 | 0.0000 (0.0000) | 0.1252 (0.4882) | 0.9468 (0.9843) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.2999 (0.6757) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0187 (0.0933) |

