### Comparison (num_trials = 50)
#### New
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.5630 (1.2730) | 24.9691 (1.5900) | 34.7310 (1.1169) |
| 20 | 1.4533 (1.4094) | 6.4264 (1.1410) | 14.0480 (1.3367) |
| 30 | 0.0000 (0.0000) | 1.0749 (1.1565) | 5.1851 (0.9370) |
| 40 | 0.0000 (0.0000) | 0.0209 (0.1037) | 0.8138 (0.8467) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.2267 (0.5785) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0176 (0.0912) |

#### Old
| m \ alpha | 0.10 | 0.20 | 0.30 |
|---|---|---|---|
| 10 | 14.5630 (1.2730) | 24.9691 (1.5900) | 34.7310 (1.1169) |
| 20 | 1.4533 (1.4094) | 6.4264 (1.1410) | 14.0480 (1.3367) |
| 30 | 0.0000 (0.0000) | 1.0749 (1.1565) | 5.1851 (0.9370) |
| 40 | 0.0000 (0.0000) | 0.0209 (0.1037) | 0.8138 (0.8467) |
| 50 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.2267 (0.5785) |
| 60 | 0.0000 (0.0000) | 0.0000 (0.0000) | 0.0176 (0.0912) |

