### Temporary Comparison (num_trials = 5)

#### m = 30, alpha = 0.10
| Method | Mean RMSE | Std RMSE | Recovered | Avg. Time (s) |
|--------|-----------|----------|-----------|---------------|
| SREDGAP | 0.0000 | 0.8701 | 4 | 1.7099 |
| SREDG | 0.0000 | 2.2437 | 4 | 0.1094 |

#### m = 30, alpha = 0.20
| Method | Mean RMSE | Std RMSE | Recovered | Avg. Time (s) |
|--------|-----------|----------|-----------|---------------|
| SREDGAP | 7.7160 | 16.4581 | 2 | 2.6556 |
| SREDG | 7.0282 | 2.9818 | 0 | 0.1257 |

#### m = 30, alpha = 0.30
| Method | Mean RMSE | Std RMSE | Recovered | Avg. Time (s) |
|--------|-----------|----------|-----------|---------------|
| SREDGAP | 37.9012 | 5.3438 | 0 | 2.0397 |
| SREDG | 14.5168 | 2.9031 | 0 | 0.1254 |
