### Comparison (num_trials = 50)
#### Method: AAP_SREDG 
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 21.157 (5.06) (0) | 28.877 (7.05) (0) | 41.740 (11.09) (0) | 46.937 (12.29) (0) | 59.768 (14.38) (0) |
| 15 | 10.764 (4.71) (1) | 15.875 (5.14) (0) | 21.904 (5.58) (0) | 27.760 (6.23) (0) | 34.882 (7.95) (0) |
| 20 | 5.661 (3.41) (3) | 9.648 (5.04) (2) | 12.603 (5.36) (0) | 16.911 (6.05) (0) | 23.171 (5.86) (0) |
| 25 | 2.862 (2.75) (13) | 3.724 (3.90) (11) | 8.899 (4.20) (1) | 12.020 (4.01) (0) | 15.032 (5.89) (0) |
| 30 | 0.553 (1.41) (35) | 1.820 (2.64) (23) | 4.548 (3.35) (8) | 7.952 (4.11) (1) | 11.458 (4.57) (0) |
| 35 | 0.325 (1.02) (41) | 1.519 (2.26) (26) | 3.078 (2.56) (13) | 5.348 (3.71) (3) | 9.458 (5.16) (2) |
| 40 | 0.013 (0.26) (47) | 0.871 (1.83) (35) | 2.412 (2.92) (20) | 3.700 (3.57) (13) | 6.003 (3.98) (3) |
| 45 | 0.041 (0.52) (47) | 0.398 (1.29) (41) | 0.904 (1.90) (33) | 2.096 (2.37) (15) | 4.298 (3.79) (12) |
| 50 | 0.000 (0.45) (49) | 0.063 (0.86) (47) | 0.709 (1.56) (36) | 2.145 (2.26) (18) | 3.497 (3.09) (15) |

#### Method: SREDG (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 19.436 (4.41) (0) | 26.051 (4.47) (0) | 33.626 (7.67) (0) | 38.218 (4.81) (0) | 44.933 (7.60) (0) |
| 15 | 7.566 (2.39) (0) | 11.330 (1.73) (0) | 16.689 (2.45) (0) | 20.863 (2.73) (0) | 27.425 (4.17) (0) |
| 20 | 1.953 (1.40) (7) | 5.486 (1.93) (0) | 7.814 (1.61) (0) | 12.199 (1.79) (0) | 16.560 (1.78) (0) |
| 25 | 0.356 (0.87) (37) | 1.723 (1.52) (7) | 3.999 (1.50) (0) | 6.787 (1.35) (0) | 9.986 (1.75) (0) |
| 30 | 0.000 (0.26) (48) | 0.510 (0.92) (28) | 1.310 (1.08) (7) | 3.593 (1.18) (0) | 5.857 (1.34) (0) |
| 35 | 0.000 (0.00) (50) | 0.075 (0.40) (41) | 0.585 (0.95) (25) | 1.227 (1.09) (9) | 3.344 (1.23) (0) |
| 40 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.046 (0.49) (43) | 0.404 (0.69) (30) | 1.534 (1.11) (7) |
| 45 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.027 (0.34) (46) | 0.044 (0.32) (45) | 0.691 (0.88) (23) |
| 50 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.01) (49) | 0.014 (0.32) (47) | 0.395 (0.76) (31) |

