### Comparison (num_trials = 50)
#### Method: AAP_SREDG 
**Changes:** First RPCA on F to initialize F. RPCA tol 1e-10, AAP tol 1e-14 
 ```matlab 
factor_initial = 20; factor_final = 5;   
MAD and linear decay  
  zeta_k = factor * mad(abs(Rk(:)));  
```
 no projection on Bk 
 
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 19.189 (6.11) (0) | 1026.833 (2154.43) (0) | 810.015 (1809.72) (0) | 250.645 (884.64) (0) | 37.985 (323.17) (0) |
| 15 | 7.648 (3.13) (0) | 11.441 (992.38) (0) | 135.378 (499.08) (0) | 86.502 (407.15) (0) | 27.784 (2.38) (0) |
| 20 | 1.536 (1.77) (15) | 4.970 (1.99) (0) | 8.484 (3.75) (0) | 16.068 (43.03) (0) | 22.421 (2.31) (0) |
| 25 | 0.203 (0.83) (40) | 1.425 (1.42) (14) | 3.547 (2.51) (1) | 6.506 (3.24) (0) | 16.102 (171.50) (0) |
| 30 | 0.000 (0.10) (49) | 0.201 (0.61) (36) | 1.290 (1.41) (15) | 3.143 (1.56) (0) | 6.940 (3.86) (0) |
| 35 | 0.000 (0.00) (50) | 0.000 (0.06) (49) | 0.236 (0.82) (37) | 1.154 (1.34) (20) | 3.432 (2.39) (1) |
| 40 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.038 (0.47) (45) | 0.412 (0.80) (31) | 1.863 (1.55) (8) |
| 45 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.08) (48) | 0.107 (0.63) (43) | 0.715 (1.16) (24) |
| 50 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.096 (0.37) (40) |

#### Method: SREDG (RPCA on F)
| m \ alpha | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|
| 10 | 19.648 (5.54) (0) | 25.568 (4.10) (0) | 32.355 (7.10) (0) | 38.197 (8.54) (0) | 42.867 (5.88) (0) |
| 15 | 7.612 (3.32) (0) | 11.753 (3.04) (0) | 16.901 (3.13) (0) | 21.227 (2.88) (0) | 26.891 (3.04) (0) |
| 20 | 1.432 (1.66) (16) | 5.004 (1.84) (0) | 8.236 (2.06) (0) | 11.902 (1.75) (0) | 16.361 (2.90) (0) |
| 25 | 0.145 (0.68) (41) | 1.412 (1.36) (16) | 3.830 (1.79) (0) | 6.374 (1.71) (0) | 9.952 (1.58) (0) |
| 30 | 0.000 (0.17) (48) | 0.183 (0.61) (37) | 1.397 (1.45) (14) | 3.301 (1.58) (0) | 5.902 (1.48) (0) |
| 35 | 0.000 (0.00) (50) | 0.000 (0.05) (49) | 0.302 (1.03) (37) | 1.021 (1.26) (19) | 3.359 (1.61) (1) |
| 40 | 0.000 (0.00) (50) | 0.000 (0.03) (48) | 0.061 (0.47) (43) | 0.562 (0.95) (29) | 1.828 (1.53) (11) |
| 45 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.08) (49) | 0.061 (0.56) (45) | 0.789 (1.13) (24) |
| 50 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.02) (49) | 0.088 (0.39) (40) |

