### Comparison (num_trials = 50)
#### Method: Plain nyst on D 
| m \ alpha | 0.00 | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|---|
| 10 | 0.000 (0.00) (50) | 18.538 (5.51) (0) | 28.564 (15.54) (0) | 36.384 (12.28) (0) | 47.942 (18.12) (0) | 56.989 (21.37) (0) | 59.809 (22.90) (0) |
| 15 | 0.000 (0.00) (50) | 12.107 (1.66) (0) | 17.172 (1.91) (0) | 22.253 (3.20) (0) | 24.787 (3.08) (0) | 28.364 (4.02) (0) | 35.887 (16.76) (0) |
| 20 | 0.000 (0.00) (50) | 9.811 (0.78) (0) | 13.911 (1.23) (0) | 17.445 (1.37) (0) | 19.893 (2.29) (0) | 22.580 (2.71) (0) | 25.084 (3.01) (0) |
| 25 | 0.000 (0.00) (50) | 8.533 (0.57) (0) | 11.942 (0.92) (0) | 14.653 (0.85) (0) | 17.144 (1.48) (0) | 18.990 (1.26) (0) | 21.440 (1.33) (0) |
| 30 | 0.000 (0.00) (50) | 7.513 (0.38) (0) | 10.670 (0.48) (0) | 13.165 (0.81) (0) | 14.855 (0.78) (0) | 16.993 (0.95) (0) | 18.246 (0.92) (0) |
| 35 | 0.000 (0.00) (50) | 6.814 (0.34) (0) | 9.648 (0.60) (0) | 11.744 (0.46) (0) | 13.562 (0.61) (0) | 15.338 (0.67) (0) | 16.964 (0.77) (0) |
| 40 | 0.000 (0.00) (50) | 6.273 (0.25) (0) | 8.844 (0.36) (0) | 10.876 (0.42) (0) | 12.534 (0.44) (0) | 14.079 (0.69) (0) | 15.646 (0.65) (0) |
| 45 | 0.000 (0.00) (50) | 5.817 (0.20) (0) | 8.237 (0.28) (0) | 10.157 (0.43) (0) | 11.733 (0.43) (0) | 13.066 (0.39) (0) | 14.349 (0.46) (0) |
| 50 | 0.000 (0.00) (50) | 5.473 (0.23) (0) | 7.778 (0.28) (0) | 9.486 (0.27) (0) | 11.034 (0.35) (0) | 12.356 (0.48) (0) | 13.469 (0.50) (0) |
| 55 | 0.000 (0.00) (50) | 5.145 (0.18) (0) | 7.324 (0.26) (0) | 9.048 (0.37) (0) | 10.404 (0.36) (0) | 11.666 (0.44) (0) | 12.661 (0.45) (0) |
| 60 | 0.000 (0.00) (50) | 4.905 (0.15) (0) | 6.921 (0.26) (0) | 8.539 (0.27) (0) | 9.764 (0.29) (0) | 10.974 (0.36) (0) | 11.959 (0.35) (0) |

#### Method: Plain nyst on X 
| m \ alpha | 0.00 | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|---|
| 10 | 0.000 (0.00) (50) | 15.565 (2.51) (0) | 22.266 (5.74) (0) | 26.986 (5.14) (0) | 31.000 (3.86) (0) | 33.501 (6.63) (0) | 36.703 (6.30) (0) |
| 15 | 0.000 (0.00) (50) | 11.369 (1.09) (0) | 15.978 (1.54) (0) | 19.848 (1.65) (0) | 22.229 (1.97) (0) | 25.278 (1.98) (0) | 27.848 (3.51) (0) |
| 20 | 0.000 (0.00) (50) | 9.341 (0.67) (0) | 13.214 (0.84) (0) | 16.456 (1.21) (0) | 18.324 (1.09) (0) | 20.984 (1.69) (0) | 22.969 (1.34) (0) |
| 25 | 0.000 (0.00) (50) | 8.193 (0.43) (0) | 11.500 (0.76) (0) | 14.184 (0.74) (0) | 16.434 (1.28) (0) | 18.035 (0.90) (0) | 20.187 (1.09) (0) |
| 30 | 0.000 (0.00) (50) | 7.327 (0.35) (0) | 10.408 (0.49) (0) | 12.713 (0.58) (0) | 14.495 (0.57) (0) | 16.311 (0.65) (0) | 17.625 (0.73) (0) |
| 35 | 0.000 (0.00) (50) | 6.654 (0.31) (0) | 9.427 (0.55) (0) | 11.439 (0.46) (0) | 13.256 (0.49) (0) | 14.851 (0.46) (0) | 16.334 (0.61) (0) |
| 40 | 0.000 (0.00) (50) | 6.183 (0.24) (0) | 8.675 (0.32) (0) | 10.652 (0.37) (0) | 12.337 (0.39) (0) | 13.772 (0.64) (0) | 15.270 (0.60) (0) |
| 45 | 0.000 (0.00) (50) | 5.730 (0.19) (0) | 8.114 (0.27) (0) | 10.011 (0.41) (0) | 11.535 (0.39) (0) | 12.826 (0.35) (0) | 14.075 (0.39) (0) |
| 50 | 0.000 (0.00) (50) | 5.402 (0.21) (0) | 7.654 (0.25) (0) | 9.340 (0.25) (0) | 10.870 (0.34) (0) | 12.144 (0.44) (0) | 13.252 (0.45) (0) |
| 55 | 0.000 (0.00) (50) | 5.083 (0.17) (0) | 7.221 (0.27) (0) | 8.922 (0.35) (0) | 10.266 (0.32) (0) | 11.490 (0.41) (0) | 12.478 (0.42) (0) |
| 60 | 0.000 (0.00) (50) | 4.856 (0.15) (0) | 6.846 (0.22) (0) | 8.429 (0.26) (0) | 9.664 (0.25) (0) | 10.829 (0.34) (0) | 11.820 (0.32) (0) |

#### Method: SREDG 
| m \ alpha | 0.00 | 0.05 | 0.10 | 0.15 | 0.20 | 0.25 | 0.30 |
|---|---|---|---|---|---|---|---|
| 10 | 0.000 (0.00) (50) | 11.985 (3.23) (0) | 19.307 (6.22) (0) | 26.318 (5.65) (0) | 31.891 (4.69) (0) | 36.726 (6.99) (0) | 41.347 (7.42) (0) |
| 15 | 0.000 (0.00) (50) | 2.799 (2.08) (5) | 7.126 (2.06) (0) | 11.982 (2.84) (0) | 16.091 (1.87) (0) | 21.050 (2.69) (0) | 26.447 (3.81) (0) |
| 20 | 0.000 (0.00) (50) | 0.267 (0.82) (38) | 1.868 (1.68) (12) | 4.688 (1.72) (0) | 8.206 (1.80) (0) | 12.324 (2.18) (0) | 16.121 (1.84) (0) |
| 25 | 0.000 (0.00) (50) | 0.040 (0.41) (46) | 0.162 (0.82) (41) | 1.958 (1.23) (6) | 3.878 (1.27) (0) | 6.449 (1.41) (0) | 9.730 (1.52) (0) |
| 30 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.006 (0.19) (47) | 0.357 (0.76) (30) | 1.726 (1.17) (7) | 3.279 (1.35) (0) | 5.634 (1.21) (0) |
| 35 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.026 (0.47) (46) | 0.354 (0.64) (31) | 1.833 (1.24) (4) | 3.116 (1.20) (1) |
| 40 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.107 (0.43) (40) | 0.489 (0.79) (30) | 1.406 (1.14) (10) |
| 45 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.027 (0.55) (47) | 0.184 (0.63) (40) | 0.613 (0.73) (18) |
| 50 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.27) (48) | 0.181 (0.43) (38) |
| 55 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.060 (0.33) (44) |
| 60 | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.000 (0.00) (50) | 0.036 (0.33) (44) |

